company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Xelpmoc Design & Tech Ltd.,2019,2019-02-04,-0.0931818181818181,Xelpmoc_Design___Tech_Ltd_,140107,21823,79,79,0,,False,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,ok,ok
Chalet Hotels Ltd.,2019,2019-02-07,0.037142857142857,Chalet_Hotels_Ltd_,142084,22364,76,76,0,,False,3,3,0,0,0,7,0,4,3,1,11,12,4,0,0,ok,ok
MSTC Ltd.,2019,2019-03-29,-0.0483333333333333,MSTC_Ltd_,102478,16155,60,60,0,,False,5,1,1,0,0,3,0,0,3,0,2,8,1,0,0,ok,ok
Rail Vikas Nigam Ltd.,2019,2019-04-11,0.0026315789473684,Rail_Vikas_Nigam_Ltd_,75238,11982,47,47,0,,False,3,0,0,0,0,0,0,1,3,0,8,3,0,0,0,ok,ok
Metropolis Healthcare Ltd.,2019,2019-04-15,0.0903977272727272,Metropolis_Healthcare_Ltd_,143000,22188,72,72,0,,False,5,4,0,0,0,9,0,2,3,0,8,12,5,0,0,ok,ok
Polycab India Ltd.,2019,2019-04-16,0.2174721189591078,Polycab_India_Ltd_,163070,25498,73,73,0,,False,1,0,0,0,0,0,0,2,4,0,3,7,7,0,0,ok,ok
Neogen Chemicals Ltd.,2019,2019-05-08,0.2258139534883721,Neogen_Chemicals_Ltd_,125226,19500,73,80,7,"24,30,34,43,53,62,77",False,1,1,2,0,0,2,0,0,6,0,8,4,3,0,0,ok,ok
Barak Valley Cements Ltd.,2019,2019-07-01,0.3345238095238094,Barak_Valley_Cements_Ltd_,32138,5095,24,24,0,,False,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,ok_A_strict,ok_patched
IndiaMART InterMESH Ltd.,2019,2019-07-04,0.3386947584789311,IndiaMART_InterMESH_Ltd_,151450,23411,60,62,2,"1,7",False,3,0,0,0,0,1,2,1,7,0,8,7,0,0,0,ok,ok
Affle (India) Ltd.,2019,2019-08-08,0.1746308724832215,Affle__India__Ltd_,130873,20276,54,54,0,,False,3,1,4,0,0,1,0,2,0,0,7,6,10,0,0,ok,ok
Spandana Sphoorty Financial Ltd.,2019,2019-08-19,-0.0088785046728972,Spandana_Sphoorty_Financial_Ltd_,128786,20077,36,38,2,"13,37",False,2,6,0,0,0,1,0,0,4,0,8,5,0,0,0,ok,ok
Sterling & Wilson Solar Ltd.,2019,2019-08-20,-0.0700641025641025,Sterling___Wilson_Solar_Ltd_,137431,21260,58,58,0,,False,2,4,3,2,0,6,0,0,7,0,8,8,0,0,0,ok,ok
Indian Railway Catering & Tourism Corp.Ltd.,2019,2019-10-14,1.276875,Indian_Railway_Catering___Tourism_Corp_Ltd_,115426,18073,58,58,0,,False,2,0,0,0,0,1,0,3,5,0,0,7,0,6,0,ok,ok
Vishwaraj Sugar Industries Ltd.,2019,2019-10-15,0.0058333333333333,Vishwaraj_Sugar_Industries_Ltd_,135199,21299,67,70,3,"18,19,43",False,3,4,2,2,0,0,0,0,5,0,4,6,0,0,0,ok,ok
